,store_name,address,zip,new_status,last_updated,location
31,Aldi,3320 W Belmont Ave,60618-5513,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.710816, 41.939357]}"
32,Old World Market,5129 N BROADWAY,60640,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.65979300000001, 41.975531]}"
33,Jewel - Osco,1340 S Canal St,60607,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.639156, 41.864386]}"
34,Park to Shop Supermarket Canal,1835 S CANAL ST,60616,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.638889, 41.856363]}"
35,Jewel - Osco,2940 N Ashland Ave,60657-4004,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.66857, 41.93556]}"
36,La Merced,4335 W 26TH ST,60623,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.732431, 41.844143]}"
37,Aldi,6621 S Cottage Grove Ave,60637-4126,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.6058, 41.774139000000005]}"
38,Fairplay Neighborhood Market,2200 S Western Ave.,60608,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.685717, 41.851983]}"
39,Fresh Farms,2626 W Devon Ave,60659,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.695711, 41.997625]}"
40,Jewel - Osco,9400 S Ashland Ave,60620-5121,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.662811, 41.723015]}"
41,Aldi,1508 W 47th St,60609-3236,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.662937, 41.808677]}"
42,Aldi,6221 N Broadway St,60660-1902,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.660357, 41.995236]}"
43,Carnival Grocery & Liquor,458 W Dickens Ave,60614,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.640843, 41.920154]}"
44,Food 4 Less,4821 W North Ave,60639-4529,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.747691, 41.909574]}"
45,Whole Foods Market,6020 N Cicero Ave,60646-4302,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.748332, 41.990481]}"
46,Walmart,8331 S Stewart Ave,60620-1728,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.634052, 41.740814]}"
47,Target,3300 N Ashland Ave,60657-2109,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.66875400000002, 41.941143]}"
48,Supermercado Chapala,7117 N CLARK ST,60626,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.674552, 42.012]}"
49,Grocery Basket,351 E 103RD ST,60628,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.614178, 41.707306]}"
50,Carniceria La Hacienda,2744 W 55th St,60632,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.693138, 41.793733]}"
51,Carniceria Jimenez,4204 W North Ave,60639,OPEN,2020-06-03T21:30:00.000,"{'type': 'Point', 'coordinates': [-87.73185, 41.909879]}"
52,Pete's Fresh Market,2333 W Madison St.,60612,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.68456, 41.881155]}"
